,date,open,high,low,close,volume
118,2020-06-18,1003.0,1019.2,994.4708,1004.02,18626163
119,2020-06-19,1012.78,1015.9699,991.34,1000.57,7941809
120,2020-06-22,999.95,1008.88,990.02,994.54,6108565
121,2020-06-23,998.88,1012.0,994.0101,1001.66,6015204
122,2020-06-24,994.11,1000.8846,953.1414,960.85,10724665
123,2020-06-25,954.27,985.98,937.15,985.98,8834648
124,2020-06-26,994.78,995.0,954.87,960.76,7736337
125,2020-06-29,969.01,1010.0,948.5201,1009.89,8732336
126,2020-06-30,1006.5,1087.69,1003.73,1079.0,16212153
127,2020-07-01,1083.0,1135.33,1080.5,1119.54,12887738
128,2020-07-02,1221.48,1228.0,1185.6,1208.8,15501212
129,2020-07-06,1276.69,1377.79,1266.044,1371.0,18885360
130,2020-07-07,1405.01,1429.5,1336.71,1389.69,20456393
131,2020-07-08,1405.0,1417.26,1311.34,1365.8054,15747236
132,2020-07-09,1396.99,1408.56,1351.28,1393.81,11159292
133,2020-07-10,1396.0,1548.915,1376.0101,1546.01,22730537
134,2020-07-13,1659.0,1794.99,1471.1101,1494.1,37309610
135,2020-07-14,1556.0,1590.0,1431.0,1516.385,21744713
136,2020-07-15,1543.0,1550.0,1457.0,1546.875,15414147
137,2020-07-16,1477.16,1531.71,1466.0,1498.7701,13387034
138,2020-07-17,1513.45,1537.51,1490.0,1500.45,8970942
139,2020-07-20,1519.01,1650.0,1488.0,1642.47,16357003
140,2020-07-21,1639.93,1675.0,1558.0,1567.58,15315602
141,2020-07-22,1599.0,1626.42,1562.0,1590.58,11174728
142,2020-07-23,1678.95,1689.0,1502.64,1513.68,17448163
143,2020-07-24,1416.01,1465.0,1366.54,1415.56,18634529
144,2020-07-27,1435.0,1547.94,1413.0002,1539.91,15007344
145,2020-07-28,1504.0,1564.7,1474.42,1475.35,15010091
146,2020-07-29,1501.0,1534.81,1487.0,1499.99,9158146
147,2020-07-30,1488.0,1513.24,1471.0,1487.42,7337598
148,2020-07-31,1515.0,1517.05,1420.98,1432.0,11885250
149,2020-08-03,1449.2,1509.81,1444.3844,1484.98,6757657
150,2020-08-04,1495.01,1527.41,1462.0,1486.25,8233969
151,2020-08-05,1492.99,1499.8384,1468.31,1485.18,4824461
152,2020-08-06,1490.83,1517.31,1477.26,1489.69,5817775
153,2020-08-07,1499.5365,1499.75,1415.01,1453.1,8707648
154,2020-08-10,1427.54,1439.99,1385.84,1419.0,6238730
155,2020-08-11,1396.0,1420.0,1365.0,1374.0,7081523
156,2020-08-12,1470.0,1585.0,1435.0,1554.423,21016580
157,2020-08-13,1611.0,1651.18,1567.26,1620.71,19063440
158,2020-08-14,1664.99,1668.8,1626.64,1651.5,11738513
159,2020-08-17,1677.0,1845.86,1672.83,1835.86,19482112
160,2020-08-18,1898.99,1923.9,1845.11,1888.11,15300121
161,2020-08-19,1865.0,1911.0,1841.21,1879.0,11776286
162,2020-08-20,1860.68,2021.99,1857.06,2001.3,20432043
163,2020-08-21,2044.76,2095.49,2025.05,2050.0,20572968
164,2020-08-24,2126.275,2129.0,1927.52,2015.695,19295383
165,2020-08-25,1974.89,2027.95,1968.0,2024.09,10051608
166,2020-08-26,2060.0,2166.0,2053.6292,2151.93,13768358
167,2020-08-27,2180.46,2295.6,2142.5,2239.76,23059123
168,2020-08-28,2295.12,2318.49,2186.52,2213.52,19360294
169,2020-08-31,444.61,500.14,440.11,498.51,111197923
170,2020-09-01,502.14,502.49,470.51,475.04,81257715
171,2020-09-02,478.99,479.04,405.1206,447.245,92367647
172,2020-09-03,407.23,431.8,402.0,407.0,80478522
173,2020-09-04,402.81,428.0,372.0201,417.9307,101060529
174,2020-09-08,356.0,368.74,329.88,330.02,103446741
175,2020-09-09,356.6,369.0,341.51,366.21,73161075
176,2020-09-10,387.72,398.99,360.56,370.5,67341190
177,2020-09-11,381.94,382.5,360.5,372.4101,58016059
178,2020-09-14,380.95,420.0,373.3,419.765,79130201
179,2020-09-15,436.56,461.94,430.7,449.38,93230923
180,2020-09-16,439.87,457.79,435.31,441.76,68279651
181,2020-09-17,415.6,437.79,408.0001,423.43,72114062
182,2020-09-18,447.94,451.0,428.8,440.9701,79958470
183,2020-09-21,453.13,455.68,407.07,449.41,100472833
184,2020-09-22,429.6,437.76,417.6001,423.974,66208306
185,2020-09-23,405.16,412.15,375.8801,380.3885,88358954
186,2020-09-24,363.8,399.5,351.3,387.63,93527446
187,2020-09-25,393.47,408.7323,391.3,407.18,64600754
188,2020-09-28,424.62,428.08,415.55,421.0602,46468845
189,2020-09-29,416.0,428.5,411.6,418.99,47939292
190,2020-09-30,421.32,433.93,420.47,428.97,45355318
191,2020-10-01,440.76,448.88,434.42,447.81,46917693
192,2020-10-02,421.39,439.13,415.0,415.2699,64001779
193,2020-10-05,423.35,433.64,419.33,425.5,42071439
194,2020-10-06,423.79,428.7799,406.05,413.7001,46076914
195,2020-10-07,419.87,429.9,413.845,425.19,40832057
196,2020-10-08,438.44,439.0,425.3,425.92,38297823
197,2020-10-09,430.13,434.5899,426.4601,433.96,27687361
198,2020-10-12,442.0,448.74,438.58,442.0,36564876
199,2020-10-13,443.5,448.89,436.6,446.65,32501386
200,2020-10-14,449.78,465.9,447.35,461.47,45481608
201,2020-10-15,450.3,456.57,442.5,448.88,33286568
202,2020-10-16,454.48,455.9499,438.85,439.91,30604148
203,2020-10-19,446.24,447.0,428.87,430.83,30760868
204,2020-10-20,431.75,431.75,419.0501,421.97,29334383
205,2020-10-21,422.7,432.95,421.25,422.5,22771969
206,2020-10-22,442.07,445.23,424.51,425.9,36750565
207,2020-10-23,421.84,422.8859,407.3801,420.615,31969114
208,2020-10-26,411.63,425.76,410.0,420.28,26973706
209,2020-10-27,423.76,430.5,420.1,424.471,21007688
210,2020-10-28,416.48,418.6,406.0,406.0,23252693
211,2020-10-29,409.96,418.06,406.46,410.64,20826471
212,2020-10-30,406.8954,407.5915,379.11,388.04,40305209
213,2020-11-02,394.0,406.9799,392.3,400.51,26759798
214,2020-11-03,409.73,427.77,406.69,423.74,32428696
215,2020-11-04,430.62,435.4,417.1,420.91,29547113
216,2020-11-05,428.3,440.0,424.0001,438.09,26009397
217,2020-11-06,436.1,436.57,424.28,429.92,20292375
218,2020-11-09,439.5,452.5,421.0,421.39,31208837
219,2020-11-10,420.09,420.09,396.0301,410.41,28649493
220,2020-11-11,416.56,418.695,410.58,417.13,16073615
221,2020-11-12,415.05,423.0,409.52,411.73,18736964
222,2020-11-13,410.85,412.5319,401.66,406.78,17007748
223,2020-11-16,408.93,412.45,404.0868,408.09,17531777
224,2020-11-17,460.17,462.0,433.01,441.57,57792306
225,2020-11-18,448.35,496.0,443.5001,486.64,75901661
226,2020-11-19,492.0,508.6112,487.57,499.16,59759624
227,2020-11-20,497.99,502.5,489.06,489.44,31084668
228,2020-11-23,503.5,526.0,501.79,521.67,46506862
229,2020-11-24,540.4,559.99,526.2,555.86,49296561
230,2020-11-25,550.06,574.0,545.37,574.0,45026821
231,2020-11-27,581.16,598.78,578.45,585.75,34800710
232,2020-11-30,602.21,607.8,554.51,566.48,56072877
233,2020-12-01,597.59,597.85,572.05,585.19,37313883
234,2020-12-02,556.44,571.54,541.21,568.8,42857218
235,2020-12-03,590.02,598.97,582.43,593.28,38701927
236,2020-12-04,591.01,599.0,585.5,599.0,27209889
237,2020-12-07,604.9197,648.7856,603.05,642.0,52961574
238,2020-12-08,625.505,651.28,618.5,649.88,57528420
239,2020-12-09,653.69,654.32,588.0,604.17,68444975
240,2020-12-10,574.37,627.75,566.34,627.33,62320233
241,2020-12-11,615.01,624.0,596.8,610.0,44794782
242,2020-12-14,619.0,642.7499,610.2001,639.79,50301458
243,2020-12-15,643.28,646.9,623.8,632.48,43018484
244,2020-12-16,628.23,632.5,605.0,622.67,40524638
245,2020-12-17,628.19,658.82,619.5,655.725,53416582
246,2020-12-18,668.9,684.75,628.54,664.99,104496947
247,2020-12-21,666.24,668.5,646.07,649.78,52689689
248,2020-12-22,648.0,649.88,614.23,640.09,49801682
249,2020-12-23,632.2,651.4999,622.5701,645.98,31228561
250,2020-12-24,642.99,666.09,641.0,661.66,22073561
251,2020-12-28,674.51,681.4,660.8,663.77,29644945
252,2020-12-29,661.0,669.9,655.0,665.98,21166506
